carrier,flight_number,origin,destination,departure_time,arrival_time,air_time,delay_minutes,distance,date
DL,4603,DFW,ATL,20:30,02:59,389,52,1576,2023-01-01
UA,9527,ATL,ORD,11:45,13:55,130,0,782,2023-01-02
AA,4105,ORD,DFW,07:00,11:28,268,17,1220,2023-01-03
AA,7331,DFW,ORD,12:45,18:27,342,9,1952,2023-01-04
DL,7298,LAX,ATL,16:00,17:40,100,-9,2064,2023-01-05
DL,9177,DFW,ATL,08:45,14:41,356,15,899,2023-01-06
WN,6532,ORD,ATL,21:00,00:49,229,-6,392,2023-01-07
WN,5655,ORD,JFK,14:45,15:46,61,-10,1905,2023-01-08
UA,3816,ATL,ORD,06:45,10:09,204,27,2195,2023-01-09
WN,6538,ORD,JFK,17:00,23:05,365,34,2365,2023-01-10
UA,7154,SFO,LAX,06:00,07:07,67,24,759,2023-01-11
WN,6579,ORD,DFW,07:30,09:41,131,27,2447,2023-01-12
WN,3133,ATL,DFW,12:15,14:48,153,7,1572,2023-01-13
DL,1176,ORD,JFK,06:30,10:53,263,23,395,2023-01-14
UA,4364,ORD,ATL,16:45,21:27,282,10,1501,2023-01-15
DL,4664,ATL,DFW,15:45,21:53,368,4,1371,2023-01-16
AA,9650,ATL,JFK,19:45,01:47,362,33,614,2023-01-17
DL,6807,SFO,ORD,16:00,17:09,69,-8,319,2023-01-18
DL,2839,LAX,JFK,14:15,20:29,374,7,1561,2023-01-19
